0.00E+00	0.003688	-0.092392
5.00E-05	0.003696	-0.092081
1.00E-04	0.003704	-0.092503
0.01755		0.000424	0.060783
0.0176		0.000485	0.060349
0.01765		0.00044	0.06119
0.0177		0.000498	0.056756
0.01775		0.000252	0.042923
0.0178		-0.000347	0.040418
0.01785		-0.000398	0.039556
0.0179		-0.000406	0.039789
0.01795		-0.000414	0.039433
0.018		-0.000457	0.039797
0.01805		-0.000436	0.039357
0.0181		-0.000477	0.039774
0.01815		-0.000483	0.039276
0.0182		-0.000487	0.039889
0.01825		-0.000441	0.039174
0.0183		-0.00045	0.040103
0.01835		-0.000425	0.039174
0.0184		-0.000395	0.061193
0.01845		0.000212	0.075998
0.0185		0.000441	0.076409
0.01855		0.00044	0.077507
0.0186		0.000488	0.077015
0.01865		0.000425	0.077325
0.0187		0.000406	0.077289
0.01875		0.000461	0.077225
0.0188		0.000413	0.077401
0.01885		0.000495	0.077018
0.0189		0.000503	0.07761
0.01895		0.000499	0.076593
0.019		0.000385	0.078354
0.01905		0.000406	0.063968
0.0191		-0.00137	0.048335
0.01915		-0.002444	0.047727
0.0192		-0.002453	0.046398
0.01925		-0.002533	0.046986
0.0193		-0.002543	0.046494
0.01935		-0.002535	0.046796
0.0194		-0.002528	0.046568
0.01945		-0.002498	0.046633
0.0195		-0.002531	0.0467
0.01955		-0.002544	0.046448
0.0196		-0.002592	0.046917
0.01965		-0.002491	0.045799
0.0197		-0.002627	0.051323
0.01975		-0.00177	0.068678
0.0198		-0.000577	0.071933
0.01985		-0.000561	0.072768
0.0199		-0.000466	0.072661
0.01995		-0.000473	0.072943
0.02		-0.000499	0.07277
0.02005		-0.000478	0.072798
0.0201		-0.000433	0.072757
0.02015		-0.000447	0.072783
0.0202		-0.000411	0.072818
0.02025		-0.000469	0.072584
0.0203		-0.000433	0.07303
0.02035		-0.000339	0.070529
0.0204		-0.000796	0.052421
0.02045		-0.002889	0.046279
0.0205		-0.00344	0.045768
0.02055		-0.003522	0.045446
0.0206		-0.003519	0.045457
0.02065		-0.00359	0.045402
0.0207		-0.003537	0.04538
0.02075		-0.003638	0.045395
0.0208		-0.003616	0.045328
0.02085		-0.00363	0.045433
0.0209		-0.003573	0.045361
0.02095		-0.003523	0.04552
0.021		-0.003508	0.045228
0.02105		-0.003529	0.048662
0.0211		-0.002906	0.051325
0.02115		-0.002509	0.051441
0.0212		-0.002542	0.051641
0.02125		-0.002477	0.051557
0.0213		-0.002525	0.051598
0.02135		-0.002542	0.051565
0.0214		-0.002569	0.051539
0.02145		-0.002516	0.05151
0.0215		-0.002568	0.051435
0.02155		-0.002498	0.051593
0.0216		-0.002516	0.051431
0.02165		-0.002531	0.051728
0.0217		-0.002528	0.048978
0.02175		-0.002502	0.045696
0.0218		-0.00248	0.045443
0.02185		-0.002494	0.045218
0.0219		-0.002513	0.045282
0.02195		-0.002561	0.045166
0.022		-0.002586	0.045202
0.02205		-0.002512	0.045166
0.0221		-0.002502	0.045236
0.02215		-0.002453	0.045203
0.0222		-0.002566	0.045075
0.02225		-0.002533	0.045319
0.0223		-0.00258	0.044894
0.02235		-0.002464	0.047089
0.0224		-0.003058	0.059584
0.02245		-0.004396	0.063403
0.0225		-0.004647	0.063806
0.02255		-0.004778	0.064024
0.0226		-0.004675	0.063962
0.02265		-0.004795	0.063961
0.0227		-0.004753	0.063972
0.02275		-0.00473	0.06392
0.0228		-0.00469	0.063891
0.02285		-0.004689	0.063921
0.0229		-0.004702	0.063897
0.02295		-0.004713	0.063951
0.023		-0.004717	0.063499
0.02305		-0.004716	0.060032
0.0231		-0.004754	0.058734
0.02315		-0.004662	0.058616
0.0232		-0.004682	0.058554
0.02325		-0.004664	0.058575
0.0233		-0.004623	0.058483
0.02335		-0.004705	0.058512
0.0234		-0.004695	0.058506
0.02345		-0.004691	0.058506
0.0235		-0.004765	0.058557
0.02355		-0.004705	0.058457
0.0236		-0.004698	0.05846
0.02365		-0.004612	0.058444
0.0237		-0.004761	0.058506
0.02375		-0.002321	0.058465
0.0238		-0.000557	0.058427
0.02385		-0.000506	0.058399
0.0239		-0.000441	0.058416
0.02395		-0.000473	0.058357
0.024		-0.000414	0.058394
0.02405		-0.000413	0.058313
0.0241		-0.000437	0.05837
0.02415		-0.000429	0.058207
0.0242		-0.000429	0.058421
0.02425		-0.000417	0.058177
0.0243		-0.000511	0.058638
0.02435		-0.000303	0.056059
0.0244		-0.001574	0.050863
0.02445		-0.003318	0.050299
0.0245		-0.003377	0.049926
0.02455		-0.003547	0.050108
0.0246		-0.003505	0.049854
0.02465		-0.003548	0.050063
0.0247		-0.003519	0.049812
0.02475		-0.003548	0.05006
0.0248		-0.003516	0.04979
0.02485		-0.00354	0.050175
0.0249		-0.003507	0.049556
0.02495		-0.003526	0.050724
0.025		-0.003608	0.04446
0.02505		-0.003248	0.003885
0.0251		-0.000562	-0.009378
0.02515		0.000417	-0.010623
0.0252		0.000472	-0.011066
0.02525		0.000544	-0.011104
0.0253		0.000521	-0.01104
0.02535		0.000559	-0.01128
0.0254		0.00052	-0.011043
0.02545		0.000487	-0.011347
0.0255		0.000487	-0.010801
0.02555		0.000492	-0.011553
0.0256		0.000463	-0.010535
0.02565		0.000554	-0.012197
0.0257		0.000258	0.001766
0.02575		-0.003109	0.01612
0.0258		-0.004461	0.016555
0.02585		-0.00459	0.017726
0.0259		-0.004717	0.017193
0.02595		-0.004634	0.017585
0.026		-0.004741	0.017352
0.02605		-0.004686	0.017501
0.0261		-0.004686	0.017334
0.02615		-0.004656	0.017468
0.0262		-0.004661	0.017485
0.02625		-0.004634	0.017286
0.0263		-0.004673	0.017816
0.02635		-0.004594	0.013904
0.0264		-0.005212	0.00768
0.02645		-0.005608	0.007295
0.0265		-0.005612	0.0068
0.02655		-0.005685	0.007081
0.0266		-0.005717	0.006706
0.02665		-0.005667	0.006924
0.0267		-0.005655	0.006767
0.02675		-0.005678	0.006964
0.0268		-0.00574	0.006781
0.02685		-0.005669	0.006989
0.0269		-0.005776	0.006727
0.02695		-0.0057	0.007119
0.027		-0.005772	0.005501
0.02705		-0.005279	-0.00288
0.0271		-0.003818	-0.005543
0.02715		-0.003531	-0.005819
0.0272		-0.00344	-0.005935
0.02725		-0.003493	-0.005874
0.0273		-0.003533	-0.005899
0.02735		-0.003462	-0.005824
0.0274		-0.003523	-0.005848
0.02745		-0.003525	-0.005869
0.0275		-0.003538	-0.005884
0.02755		-0.003511	-0.005769
0.0276		-0.003507	-0.005791
0.02765		-0.003409	-0.006009
0.0277		-0.003804	-0.009403
0.02775		-0.005246	-0.01096
0.0278		-0.005577	-0.011106
0.02785		-0.005695	-0.011159
0.0279		-0.00573	-0.011151
0.02795		-0.005693	-0.011237
0.028		-0.005662	-0.011243
0.02805		-0.005689	-0.011177
0.0281		-0.005687	-0.011167
0.02815		-0.005674	-0.011126
0.0282		-0.005677	-0.011243
0.02825		-0.005632	-0.011037
0.0283		-0.005685	-0.01134
0.02835		-0.005578	-0.010211
0.0284		-0.006804	-0.008249
0.02845		-0.007633	-0.007968
0.0285		-0.00771	-0.007955
0.02855		-0.007789	-0.007894
0.0286		-0.007718	-0.007957
0.02865		-0.007737	-0.007865
0.0287		-0.007678	-0.008051
0.02875		-0.007704	-0.007791
0.0288		-0.007724	-0.008139
0.02885		-0.007698	-0.007633
0.0289		-0.007855	-0.008302
0.02895		-0.007593	-0.007111
0.029		-0.007868	-0.013386
0.02905		-0.006375	-0.025663
0.0291		-0.003865	-0.027082
0.02915		-0.003625	-0.027958
0.0292		-0.003441	-0.027648
0.02925		-0.003448	-0.027994
0.0293		-0.003456	-0.027631
0.02935		-0.003496	-0.027973
0.0294		-0.003441	-0.027727
0.02945		-0.003483	-0.027913
0.0295		-0.003492	-0.027654
0.02955		-0.003503	-0.027909
0.0296		-0.003425	-0.027631
0.02965		-0.00349	-0.027506
0.0297		-0.003453	-0.017038
0.02975		-0.003462	-0.011581
0.0298		-0.003405	-0.011387
0.02985		-0.003483	-0.011085
0.0299		-0.0034	-0.011145
0.02995		-0.00342	-0.011069
0.03		-0.003438	-0.011047
0.03005		-0.003499	-0.0111
0.0301		-0.003483	-0.011007
0.03015		-0.003492	-0.0112
0.0302		-0.003514	-0.0109
0.03025		-0.003453	-0.011369
0.0303		-0.003425	-0.010674
0.03035		-0.003481	-0.020096
0.0304		-0.004301	-0.028106
0.03045		-0.004556	-0.028239
0.0305		-0.004539	-0.028984
0.03055		-0.004632	-0.028588
0.0306		-0.004636	-0.028991
0.03065		-0.004605	-0.028649
0.0307		-0.004584	-0.028921
0.03075		-0.004661	-0.028622
0.0308		-0.004594	-0.028888
0.03085		-0.004601	-0.02859
0.0309		-0.004587	-0.028985
0.03095		-0.004646	-0.028371
0.031		-0.004638	-0.031331
0.03105		-0.004646	-0.037306
0.0311		-0.004612	-0.037932
0.03115		-0.004543	-0.038413
0.0312		-0.00465	-0.038059
0.03125		-0.004676	-0.038411
0.0313		-0.004614	-0.038099
0.03135		-0.004536	-0.038447
0.0314		-0.004593	-0.038065
0.03145		-0.004587	-0.038649
0.0315		-0.004579	-0.037862
0.03155		-0.004628	-0.03881
0.0316		-0.00459	-0.037056
0.03165		-0.004514	-0.045214
0.0317		-0.00486	-0.066255
0.03175		-0.005474	-0.069741
0.0318		-0.00556	-0.070836
0.03185		-0.005654	-0.07058
0.0319		-0.005682	-0.070918
0.03195		-0.005685	-0.070674
0.032		-0.005654	-0.070909
0.03205		-0.005582	-0.070584
0.0321		-0.005612	-0.070779
0.03215		-0.005569	-0.0706
0.0322		-0.005636	-0.070763
0.03225		-0.005634	-0.07065
0.0323		-0.005596	-0.070736
0.03235		-0.005423	-0.068755
0.0324		-0.003951	-0.067691
0.03245		-0.003427	-0.067558
0.0325		-0.003422	-0.06756
0.03255		-0.003415	-0.067509
0.0326		-0.003463	-0.067514
