0.00E+00	-0.015291	0.249076
5.00E-05	-0.013841	0.249427
1.00E-04	-0.013606	0.249006
0.0331		-0.017245	0.004989
0.03315		-0.017206	-0.003732
0.0332		-0.017112	-0.005107
0.03325		-0.01589	-0.005111
0.0333		-0.015346	-0.005312
0.03335		-0.015339	-0.005178
0.0334		-0.015283	-0.005373
0.03345		-0.015372	-0.005229
0.0335		-0.015335	-0.005449
0.03355		-0.015325	-0.005148
0.0336		-0.015281	-0.005486
0.03365		-0.015347	-0.004812
0.0337		-0.015321	-0.007891
0.03375		-0.015369	-0.02859
0.0338		-0.015244	-0.036099
0.03385		-0.015414	-0.036485
0.0339		-0.013909	-0.037042
0.03395		-0.012283	-0.036721
0.034		-0.012227	-0.037142
0.03405		-0.012148	-0.036655
0.0341		-0.012191	-0.037174
0.03415		-0.012174	-0.036532
0.0342		-0.012183	-0.037348
0.03425		-0.012111	-0.036319
0.0343		-0.012194	-0.037567
0.03435		-0.012208	-0.036828
0.0344		-0.012149	-0.078508
0.03445		-0.012182	-0.105081
0.0345		-0.012093	-0.105379
0.03455		-0.012451	-0.107893
0.0346		-0.013052	-0.106498
0.03465		-0.013067	-0.107789
0.0347		-0.01317	-0.106673
0.03475		-0.013162	-0.107724
0.0348		-0.013173	-0.106628
0.03485		-0.013114	-0.107819
0.0349		-0.013191	-0.106462
0.03495		-0.013203	-0.108206
0.035		-0.013196	-0.105423
0.03505		-0.013128	-0.120407
0.0351		-0.013176	-0.142004
0.03515		-0.013095	-0.143656
0.0352		-0.013003	-0.145301
0.03525		-0.009707	-0.144625
0.0353		-0.007955	-0.145238
0.03535		-0.007994	-0.144675
0.0354		-0.007837	-0.145154
0.03545		-0.007879	-0.144603
0.0355		-0.007761	-0.145076
0.03555		-0.007802	-0.144625
0.0356		-0.007799	-0.145178
0.03565		-0.007873	-0.14425
0.0357		-0.007794	-0.147833
0.03575		-0.007866	-0.160178
0.0358		-0.007772	-0.163043
0.03585		-0.007787	-0.163514
0.0359		-0.005152	-0.163518
0.03595		-0.003714	-0.163615
0.036		-0.003732	-0.163503
0.03605		-0.003589	-0.163566
0.0361		-0.003688	-0.163431
0.03615		-0.003625	-0.163557
0.0362		-0.003652	-0.163353
0.03625		-0.003614	-0.163555
0.0363		-0.003652	-0.163268
0.03635		-0.003611	-0.163511
0.0364		-0.003662	-0.160998
0.03645		-0.003514	-0.159365
0.0365		-0.003706	-0.159047
0.03655		-0.003178	-0.159194
0.0366		-0.002518	-0.158889
0.03665		-0.002505	-0.159213
0.0367		-0.002394	-0.158752
0.03675		-0.002383	-0.159261
0.0368		-0.002406	-0.158497
0.03685		-0.002436	-0.159424
0.0369		-0.00244	-0.15819
0.03695		-0.002453	-0.159934
0.037		-0.002446	-0.157217
0.03705		-0.00247	-0.18976
0.0371		-0.002421	-0.218327
0.03715		-0.002418	-0.218735
0.0372		-0.00244	-0.22158
0.03725		-0.002362	-0.219858
0.0373		-0.002384	-0.221386
0.03735		-0.002405	-0.219961
0.0374		-0.0024	-0.221321
0.03745		-0.002427	-0.2199
0.0375		-0.002425	-0.221337
0.03755		-0.00245	-0.219612
0.0376		-0.002474	-0.221818
0.03765		-0.002477	-0.21813
0.0377		-0.002458	-0.234405
0.03775		-0.002464	-0.270917
0.0378		-0.002385	-0.27643
0.03785		-0.002328	-0.278518
0.0379		-0.000282	-0.277923
0.03795		0.000646	-0.278491
0.038		0.000514	-0.277983
0.03805		0.000717	-0.278379
0.0381		0.00064	-0.277983
0.03815		0.000766	-0.278252
0.0382		0.000684	-0.277951
0.03825		0.000642	-0.278104
0.0383		0.000636	-0.277943
0.03835		0.000766	-0.278091
0.0384		0.000653	-0.278518
0.03845		0.000765	-0.278949
0.0385		0.000591	-0.278815
0.03855		0.001969	-0.278896
0.0386		0.00357	-0.278763
0.03865		0.003541	-0.278781
0.0387		0.003695	-0.278549
0.03875		0.003629	-0.278683
0.0388		0.003707	-0.278564
0.03885		0.003633	-0.278616
