0.0426		-0.001235	0.093792
0.04265		-0.001231	0.093866
0.0427		-0.001194	0.09376
0.04275		-0.001213	0.093955
0.0428		-0.001213	0.093771
0.04285		-0.001201	0.093956
0.0429		-0.001167	0.093643
0.04295		-0.00113	0.093924
0.043		-0.001374	0.086762
0.04305		-0.002077	0.081531
0.0431		-0.002169	0.081429
0.04315		-0.002211	0.080953
0.0432		-0.002155	0.081159
0.04325		-0.002195	0.080868
0.0433		-0.002232	0.081
0.04335		-0.002248	0.080958
0.0434		-0.002254	0.081064
0.04345		-0.002241	0.081014
0.0435		-0.002178	0.080997
0.04355		-0.002283	0.080984
0.0436		-0.002185	0.080955
0.04365		-0.002557	0.080781
0.0437		-0.004069	0.079966
0.04375		-0.004339	0.079984
0.0438		-0.004413	0.07987
