0.00E+00	0.000684	0.001445
0.01905		0.001655	-0.037537
0.0191		0.001618	-0.038496
0.01915		0.001637	-0.040089
0.0192		0.001618	-0.039438
0.01925		0.001663	-0.039958
0.0193		0.001659	-0.039496
0.01935		0.001588	-0.039778
0.0194		0.001611	-0.03969
0.01945		0.001626	-0.039652
0.0195		0.001674	-0.039836
0.01955		0.001567	-0.03933
0.0196		0.000868	-0.040431
0.01965		0.000637	-0.034698
0.0197		0.000581	-0.0196
0.01975		0.00062	-0.017339
0.0198		0.000609	-0.016484
0.01985		0.000596	-0.016714
0.0199		0.000633	-0.016407
0.01995		0.000646	-0.016715
0.02		0.000632	-0.016454
0.02005		0.000609	-0.016677
0.0201		0.000618	-0.016455
0.02015		0.000639	-0.016576
0.0202		0.000677	-0.016393
0.02025		0.00119	-0.016562
0.0203		0.001616	-0.016232
0.02035		0.001593	-0.014884
0.0204		0.00157	-0.014397
0.02045		0.001635	-0.014375
0.0205		0.001673	-0.014358
0.02055		0.001615	-0.014342
0.0206		0.001642	-0.014322
0.02065		0.001615	-0.014378
0.0207		0.00164	-0.01433
0.02075		0.001651	-0.014401
0.0208		0.001637	-0.01432
0.02085		0.001509	-0.014436
0.0209		0.001963	-0.014329
0.02095		0.002544	-0.014377
0.021		0.002639	-0.011347
0.02105		0.002672	-0.009296
0.0211		0.002649	-0.009311
0.02115		0.002634	-0.009095
0.0212		0.002669	-0.009191
0.02125		0.002684	-0.009044
0.0213		0.002692	-0.009147
0.02135		0.002664	-0.00907
0.0214		0.002684	-0.009215
0.02145		0.00261	-0.009014
0.0215		0.002712	-0.009218
0.02155		0.002104	-0.008959
0.0216		0.000182	-0.009395
0.02165		-0.000218	-0.007673
0.0217		-0.00028	-0.004436
0.02175		-0.000284	-0.004007
0.0218		-0.000344	-0.003899
0.02185		-0.000278	-0.003856
0.0219		-0.000285	-0.003823
0.02195		-0.000267	-0.003848
0.022		-0.000229	-0.003858
0.02205		-0.000317	-0.003834
0.0221		-0.000315	-0.003919
0.02215		-0.000302	-0.003829
0.0222		-0.000274	-0.004054
0.02225		-0.000317	-0.003597
0.0223		-0.0003	-0.005931
0.02235		-0.000296	-0.011198
0.0224		-0.000343	-0.011935
0.02245		-0.000324	-0.012282
0.0225		-0.000302	-0.012185
0.02255		-0.000424	-0.012257
0.0226		-0.000299	-0.012204
0.02265		-0.000307	-0.012176
0.0227		-0.000267	-0.012185
0.02275		-0.000333	-0.01222
0.0228		-0.000203	-0.012172
0.02285		-0.000373	-0.012182
0.0229		0.001119	-0.0123
0.02295		0.002587	-0.01165
0.023		0.002594	-0.007677
0.02305		0.002638	-0.006059
0.0231		0.002598	-0.006095
0.02315		0.002719	-0.005822
0.0232		0.00265	-0.006007
0.02325		0.002686	-0.005809
0.0233		0.002658	-0.00609
0.02335		0.002691	-0.005759
0.0234		0.002625	-0.00617
0.02345		0.002687	-0.005628
0.0235		0.002725	-0.006345
0.02355		0.002538	-0.005351
0.0236		0.001881	-0.007057
0.02365		0.001725	0.001943
0.0237		0.001622	0.016248
0.02375		0.001585	0.017467
0.0238		0.001575	0.018435
0.02385		0.001614	0.018103
0.0239		0.001615	0.018441
0.02395		0.001608	0.018133
0.024		0.001609	0.018341
0.02405		0.001619	0.018239
0.0241		0.001545	0.01827
0.02415		0.001608	0.018367
0.0242		0.001649	0.018074
0.02425		0.00164	0.018665
0.0243		0.001605	0.015397
0.02435		0.001578	0.009568
0.0244		0.001612	0.009047
0.02445		0.001656	0.008668
0.0245		0.001651	0.008822
0.02455		0.001615	0.008545
0.0246		0.001605	0.008779
0.02465		0.001597	0.008704
0.0247		0.001564	0.008782
0.02475		0.001592	0.008672
0.0248		0.001626	0.008713
0.02485		0.001575	0.008645
0.0249		0.000365	0.00874
0.02495		-0.000296	0.009084
0.025		-0.000303	0.015349
0.02505		-0.000355	0.017926
0.0251		-0.000296	0.018121
0.02515		-0.000325	0.018243
0.0252		-0.000258	0.018181
0.02525		-0.000302	0.018217
0.0253		-0.00028	0.018236
0.02535		-0.000359	0.018191
0.0254		-0.000303	0.018292
0.02545		-0.000335	0.018163
0.0255		-0.000236	0.018374
0.02555		-0.000861	0.018125
0.0256		-0.002114	0.018403
0.02565		-0.002309	0.015609
0.0257		-0.002402	0.013126
0.02575		-0.002402	0.013048
0.0258		-0.002395	0.012958
0.02585		-0.002388	0.012876
0.0259		-0.002428	0.01297
0.02595		-0.002368	0.012839
0.026		-0.002374	0.01298
0.02605		-0.002379	0.012767
0.0261		-0.002428	0.013163
0.02615		-0.00237	0.012636
0.0262		-0.002383	0.013299
0.02625		-0.00238	0.012046
0.0263		-0.002362	0.020176
0.02635		-0.002295	0.03165
0.0264		-0.002395	0.03226
0.02645		-0.002407	0.033225
0.0265		-0.00235	0.032721
0.02655		-0.002396	0.033176
0.0266		-0.002384	0.032767
0.02665		-0.002366	0.033164
0.0267		-0.002374	0.032747
0.02675		-0.002372	0.03321
0.0268		-0.002384	0.032754
0.02685		-0.002277	0.03322
0.0269		0.000252	0.032395
0.02695		0.001482	0.036078
0.027		0.001566	0.043965
0.02705		0.001637	0.045059
0.0271		0.001623	0.045502
0.02715		0.001592	0.045366
0.0272		0.001571	0.045499
0.02725		0.001626	0.045384
0.0273		0.001653	0.045529
0.02735		0.001597	0.0453
0.0274		0.001653	0.045447
0.02745		0.001586	0.045359
0.0275		0.001668	0.045561
0.02755		0.000766	0.045245
0.0276		-0.000254	0.045082
0.02765		-0.000178	0.032689
0.0277		-0.000271	0.026101
0.02775		-0.000315	0.025975
0.0278		-0.000325	0.02536
0.02785		-0.000313	0.025588
0.0279		-0.00035	0.025356
0.02795		-0.000304	0.025536
0.028		-0.000325	0.025388
0.02805		-0.000219	0.025506
0.0281		-0.00021	0.025395
0.02815		-0.000214	0.025508
